source_id,ngc5694_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6223557282924812928,866,-0.22854985138096381,0.32000253,219.99340258681582,-26.472738199261915,18.917881,-6.23614877723471,0.3408842,-6.569644729068639,0.2768554,2.1947121003920407E-5
6223553915670432256,867,0.7460710291838446,0.45670748,220.00014916997415,-26.520380875293895,19.238564,0.4914909007312891,0.45157295,-7.921485097086539,0.36373815,4.828927353298875E-5
6223459499406821248,868,1.3888074918375872,0.4719611,219.93363762902482,-26.589456214081682,19.218346,-3.9314729366643544,0.4635839,1.3548408884626963,0.40880173,1.529275461962712E-5
6223462797939582976,870,-0.9561093501456432,0.42249715,219.89833222630926,-26.54525842529048,18.911219,-0.6359586818406588,0.42726472,-1.460618598177367,0.35899404,8.651815605047827E-6
6223462797940126848,871,-1.106346933634467,1.0914854,219.88660001572208,-26.542145493768665,20.12664,-1.1930518539019044,1.1504669,-1.1144356517048957,1.1478887,4.3347563751490237E-5
6223462797939595136,872,-0.8971239986169279,0.45434147,219.88408979922303,-26.545203276177126,18.82797,-1.2321163002876052,0.4286608,-1.7284869000827627,0.4685825,1.9592824728931396E-5
6223458945354361600,873,0.22080581658822201,0.35289434,220.02789477814514,-26.591565304756458,19.049816,-10.832838555586832,0.34972835,-1.34405380588017,0.29326046,3.741090273182489E-5
6223462763579713024,874,0.3016796228395721,0.3600854,219.91442092967688,-26.54896652750456,18.764555,-1.0568508760511504,0.3483711,-0.9258001039252096,0.30755678,7.032954922139244E-6
6223462729219975168,875,0.40690106628871725,0.32555413,219.9036931780027,-26.551368286456963,18.68713,-0.566151895923631,0.31712154,-1.0973538239102603,0.2683371,6.562307258307354E-6
6223462690565899648,878,0.10836671186696123,0.33184624,219.87717444812054,-26.555360309035567,18.827765,-0.43139295352742923,0.33489347,-1.1649654373096765,0.27547136,1.8166523001403567E-5
6223462763579714304,879,0.8185243995725441,0.6131569,219.90917094216752,-26.54840557631921,19.310963,1.4976490763357015,0.6897277,-1.1636104170192165,0.5417602,7.542806072137031E-5
6223462763581974528,879,,,219.90903915757767,-26.548527091951325,19.709831,,,,,9.61921440046379E-5
6223462763581975168,883,0.13259503105735942,0.3586916,219.91225642425164,-26.544763054292453,18.777275,-0.17931753760054567,0.35096198,-1.4253810077973172,0.2954123,2.1681068470188908E-5
6223553950030172800,885,0.2381941977184168,0.31933662,220.00887491306074,-26.51388218088022,18.841093,-9.040717234976208,0.31956202,-7.602292718763768,0.26163134,5.6521679960001664E-5
6223462832299334656,886,2.46344673608525,1.3133332,219.90837117205749,-26.53833955424086,19.864292,-5.274995728960447,1.312203,-1.1146232901568995,1.170694,2.9972639781651082E-5
6223462832299260544,887,-0.6069442560558789,0.84809864,219.89775292125776,-26.535106297758563,18.91428,-5.261683275497172,0.79712296,-2.6920703335809106,0.7367533,3.912408390398869E-5
6223462832299346944,888,-4.177424734927269,1.7468722,219.90757994933048,-26.533855683100267,19.709505,5.8899327787894675,1.4689543,-4.004184240974045,1.234911,9.108631473352707E-5
