source_id,m14_1_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
4368940346669606784,7801,0.08883276307158941,0.3100055,264.3690223930848,-3.254485527824842,18.76278,-1.8464448856248346,0.3403934,-3.691228859976204,0.27042654,5.336082552497022E-5
4368940655907474560,7802,-0.34564350516610043,0.70018226,264.36895987054044,-3.241246761322845,19.752172,-3.4718856593447236,0.643879,-6.1055043639140285,0.55309606,2.877846771938407E-5
4368940552838815872,7804,2.8888310951851843,0.80403924,264.3689400913675,-3.2493960445628063,19.819824,-4.649095742097767,0.7487802,-5.308534338324088,0.6566512,9.26411527798017E-5
4368941892865654272,7805,0.15648800372690053,0.089100875,264.3687799352663,-3.2012879148625326,17.176283,-3.735467277426877,0.082190976,-4.869990264871751,0.06496153,3.065298093794514E-5
4368940312309731968,7806,-1.1490773998427004,0.50786954,264.36889604559843,-3.261250438905638,19.678032,-3.9188706439557524,0.51975095,-6.444848078257099,0.3737225,8.904579417001968E-5
4368940754694482432,7807,0.9546475041373109,0.15531605,264.3688151106513,-3.2201105385481763,17.58905,-4.503636729999153,0.14136711,-5.391146546926649,0.11258508,3.938408427129743E-5
4368940312309656320,7808,0.5646645473912387,0.1386943,264.36892398776155,-3.26448445025431,17.954039,-2.813795988673245,0.13061443,1.2285825437634026,0.10204529,1.4126091301918018E-5
4368941995937653376,7809,0.6494176081325002,0.443211,264.368640993361,-3.18210209161728,19.702541,-3.7281155262312926,0.4279989,-5.081682714337543,0.34698614,3.644201456163884E-5
4368940312319828224,7811,,,264.36875055510325,-3.262176947314616,20.63269,,,,,1.1601172546120215E-4
4368940724635283072,7812,0.11037328119290898,0.19005676,264.36872500172683,-3.231780107515568,18.221798,-3.787564556753253,0.1752803,-5.221076624877784,0.15519775,3.7372329930427644E-5
4368940552828140416,7813,1.3147352847889264,1.6903106,264.36872400942116,-3.2500080491787324,20.064571,2.5062909520486367,1.7242094,-0.6965142190578234,1.486237,7.309130914431487E-5
4368940758986940032,7814,1.0423047352940749,0.39997664,264.3686739898615,-3.221722629278162,19.253012,-3.773620158394647,0.375715,-3.3869797513150535,0.30289665,4.435353128717365E-5
4368922578390822656,7815,-0.052046168044871395,0.21054444,264.36888189742075,-3.3081529172193194,18.548542,-3.6240867699468935,0.19479921,-5.420038557876206,0.16363375,4.221938104682421E-5
4368940651615267200,7816,0.9282988888284618,0.16909564,264.36869664325616,-3.2350045156954517,17.86974,0.3771331203971439,0.1587243,-4.396071506284164,0.12611493,3.16220946840709E-5
4368940724634523904,7817,0.09105442433506417,0.060932968,264.3686636550002,-3.225888257440926,16.57523,-3.686460533955486,0.057987086,-4.971205455713194,0.04506771,4.069681366899446E-5
