source_id,rup106_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6078957588180679680,734,0.5881879191110663,0.113699734,189.50123154930787,-51.188026882252615,17.931469,-20.05473539583581,0.11223161,3.861083277145206,0.08578096,1.071205233932248E-4
6078980368687220352,735,0.4566543922505904,0.19806418,189.56698251333216,-51.18769689508056,19.002327,-5.655247583645487,0.20092668,0.029110423172110145,0.15383181,2.3418585260828223E-5
6078957764282330368,736,0.2772061262928727,0.04214319,189.47405632910503,-51.18759793053295,16.129246,-5.7743632845787,0.038660016,-0.7480696658606862,0.030256156,1.4888802184566507E-5
6078934880687595008,737,0.11663484498337748,0.42731243,189.73272255897908,-51.18687159352226,19.594967,-6.028772064813806,0.46762767,1.2406916469864189,0.26809633,2.390334499130692E-4
6078934880695646336,737,0.48363954504891765,0.21442795,189.73272635931448,-51.1865802309483,18.683245,-5.657758111147473,0.20047319,0.41927709842078575,0.16320874,5.679875292645946E-5
6078934189198847872,738,0.2563874434050856,0.11568824,189.77874897907327,-51.18597757575398,18.11422,-5.8786426075047995,0.11170069,-0.7499667503786369,0.090587735,3.0236024742370743E-5
6078934842033876992,739,0.06899493012269275,0.23111428,189.7473307569393,-51.18601569991626,19.147858,-5.486774430559319,0.22060336,0.09019362019235697,0.1799283,1.9731284412987974E-5
6078980372990944384,740,0.5859614117064988,0.088395014,189.5640010668793,-51.18660074189793,17.646524,-11.030978884788341,0.084311455,-1.941036976082701,0.07136047,5.838097270795152E-5
6078981055881990016,741,-0.5796286450592496,0.4211575,189.5134315852358,-51.18664527351094,18.798923,-2.287262301060061,0.4438756,-4.537139656432736,0.33419883,1.1899180026606977E-5
6078980506126171008,742,0.2889078999160633,0.1838758,189.62580368311507,-51.186266318355955,18.841732,-1.4638333596163877,0.1869074,0.3168645054099686,0.14801352,8.419857153732957E-6
6078980991466234368,743,0.9424257754116754,0.10241854,189.52710478121554,-51.18629603207318,17.800322,-3.215732794760281,0.10258672,-3.4550647028341563,0.08265312,1.5456131064645603E-5
6078934090421666688,744,0.9311936128054222,0.04693337,189.76748999664647,-51.18545152760697,16.372063,3.153969093230536,0.04418917,-4.246284882090572,0.037132937,3.550478112779979E-5
6078934842033878784,745,0.3861670857517084,0.106330335,189.76276064980988,-51.18537857344609,17.649817,-6.3692730671546265,0.10316184,-0.2704345150084198,0.08613046,3.158687855572179E-5
6078957798642069760,746,0.10381967974616085,0.08410047,189.4819284069385,-51.18614669425496,17.483164,-4.2468195331663745,0.07766469,0.015724486698968566,0.064904705,1.4925957161737661E-5
6078981055881990912,747,0.02137316512849656,0.24300928,189.50420882941685,-51.186020981043896,19.228588,-6.588838317806971,0.25568485,-2.9092136510113646,0.18739194,2.6804452753642824E-5
6078980471766444544,748,0.1617307776674661,0.13098264,189.65004564501177,-51.185534169662105,18.256569,-6.816923446066305,0.120286144,0.07694970416170309,0.10050451,3.116844354286811E-5
6078934876392399232,749,0.36924141345648903,0.017508091,189.7295262492678,-51.18508008594437,12.966539,-7.318418427784869,0.015311775,1.9939349220691711,0.012526707,3.5074591724284605E-5
6078980506126174720,750,0.14325344777240911,0.16976935,189.61070764928317,-51.1853590816773,18.745708,-7.969767762439047,0.17104122,2.9445093730793195,0.14176181,4.6882801163043136E-5
6078980506126175872,751,0.07969169610316516,0.24915664,189.62334047601695,-51.18507858636533,19.343916,-1.8502084790305924,0.2481429,-0.14887267417486807,0.1929808,1.2973927553638827E-5
