source_id,pyxis_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
5623105363002258176,705,0.2250705731003486,0.7843306,136.99331607610438,-37.28694081933784,20.60573,-4.39120774995975,0.704884,2.238132100788645,0.8031763,1.727633603370955E-5
5623059076138117120,706,0.31948344925536337,0.06109154,137.1065011585868,-37.28656513112287,17.155478,-4.624083752238726,0.05879199,4.149441963068142,0.066095084,3.158261165984613E-5
5623059076138115968,707,0.09351895792474646,0.36148143,137.1033828508543,-37.28655235547763,19.356209,-2.4002720749204816,0.3407486,-0.43197050132717535,0.38716143,1.9986114146619147E-5
5623059767627227648,708,0.33848202845446285,0.12657268,137.04821695887136,-37.28672580550701,18.560995,-0.04699241120486364,0.12603876,-5.777183885797727,0.14456464,4.848559771657445E-5
5623105255626478592,709,-0.08777497564096687,0.31778365,136.9243265061122,-37.28692201824478,19.710098,-2.6532919302697513,0.28092894,1.9307540799057719,0.33349642,1.4307657984278591E-5
5623058496320934144,710,0.927255677782348,0.015932143,137.02640197005204,-37.286638036278276,14.278044,-5.9408960158291375,0.0143327955,1.382516427644499,0.018387431,4.693475206886581E-5
5623105019408051072,711,0.1894607362691684,0.03947117,136.95569110568232,-37.28636622155126,16.409504,-4.825029523328889,0.03853292,3.970342481619306,0.04601458,3.1763646014624154E-5
5623059733271491456,712,0.1611657702732626,0.11416069,137.07590673260523,-37.2859749124602,18.33739,-3.6861875143279694,0.112422794,5.680824010361129,0.1239701,3.167798959101096E-5
5623105259921118208,713,0.10127195018167764,0.3448537,136.92099798890678,-37.28632884164511,19.81443,-5.7171592533916415,0.2997584,3.1480544058872555,0.3501215,3.201972525668558E-5
5623105912756173952,714,-0.37260567815608087,0.23795244,136.90984521369924,-37.28629847266178,19.187075,-3.275629771755641,0.21335413,2.6915398824693852,0.24242945,1.9296760783078763E-5
5623105255626481280,716,0.2906305828163893,0.15326688,136.92765709173773,-37.28618016595868,18.68908,-7.868717542148794,0.14677635,5.80066079248275,0.16669972,4.873355501478392E-5
5623058492022573824,717,0.2811065661448469,0.17341992,137.03071409663778,-37.28593373044256,18.88736,-6.411619985552747,0.16166428,2.6481281980261198,0.20653684,3.7321382983762966E-5
