"","num","RA","Dec"
"4999",4999,264.402919404196,-3.24787565330327
"5000",5000,264.402908150418,-3.24612843786063
"5001",5001,264.402879270925,-3.23934638827973
"5002",5002,264.402902483157,-3.251220945005
"5003",5003,264.402814688573,-3.21824234139599
"5004",5004,264.4028500754,-3.23252834083376
"5005",5005,264.402844165065,-3.23301252215998
"5006",5006,264.402829093237,-3.22770756061627
"5007",5007,264.402802886463,-3.22004675970512
"5008",5008,264.402777168715,-3.210299866102
"5009",5009,264.402852685264,-3.24091327113062
"5010",5010,264.402888158431,-3.25689824880328
"5011",5011,264.402845143043,-3.24220052601915
"5012",5012,264.402827187928,-3.24084612639755
"5013",5013,264.402788531791,-3.22650107085929
"5014",5014,264.402825519015,-3.24176832956172
"5015",5015,264.4028622902,-3.25729789730318
"5016",5016,264.402879568347,-3.265701174618
"5017",5017,264.402815991952,-3.24183788391847
"5018",5018,264.402827246362,-3.24757174296731
"5019",5019,264.402858196498,-3.26375152195511
"5020",5020,264.40276583986,-3.22893888500748
"5021",5021,264.40290032961,-3.28419002614586
"5022",5022,264.402733571569,-3.22021081358674
"5023",5023,264.402820077405,-3.25675898782619
"5024",5024,264.402798060009,-3.24855351150839
"5025",5025,264.40276338363,-3.23612115137836
"5026",5026,264.402773806243,-3.24774746998531
"5027",5027,264.402803335674,-3.25995295266429
"5028",5028,264.402747061666,-3.23921783813603
"5029",5029,264.402741307431,-3.24081409446476
"5030",5030,264.402618966035,-3.19299847531895
"5031",5031,264.402707427172,-3.23662414961595
"5032",5032,264.402743930555,-3.25226860357586
"5033",5033,264.402721871557,-3.24545020163622
"5034",5034,264.402789017519,-3.27211663999557
"5035",5035,264.402592100812,-3.19681892829485
"5036",5036,264.40260632705,-3.20604122596937
"5037",5037,264.402710737535,-3.25347412547814
"5038",5038,264.40281536222,-3.29498770952836
"5039",5039,264.403130433849,-3.42260554826703
"5040",5040,264.402676809396,-3.24795269238928
"5041",5041,264.402680111198,-3.25060729696858
"5042",5042,264.402599974115,-3.22045600485288
"5043",5043,264.402648427762,-3.24031206024935
"5044",5044,264.402605639511,-3.22373127348355
"5045",5045,264.402703636807,-3.26238378635405
"5046",5046,264.402637820119,-3.24346267582315
"5047",5047,264.402590563369,-3.22780119324491
"5048",5048,264.402697898167,-3.27055556970928
"5049",5049,264.402665438302,-3.26052799639028
"5050",5050,264.40258873719,-3.23133288178481
"5051",5051,264.402579367648,-3.22831179411072
"5052",5052,264.402705355967,-3.27939778621981
"5053",5053,264.402657908339,-3.26155818680598
"5054",5054,264.402623393177,-3.25059236612024
"5055",5055,264.402607855137,-3.24685535025722
"5056",5056,264.402490315433,-3.21051706394628
"5057",5057,264.402565512962,-3.24131343517082
"5058",5058,264.402477603021,-3.21577728031703
"5059",5059,264.402517068609,-3.23412135417947
"5060",5060,264.402754426219,-3.32779195461015
"5061",5061,264.402574972931,-3.25742638830527
"5062",5062,264.40253224552,-3.24266615527073
"5063",5063,264.402582828195,-3.26309619341525
"5064",5064,264.402537012477,-3.24528120124134
"5065",5065,264.402512532626,-3.2382977801995
"5066",5066,264.402585339696,-3.26728018148385
"5067",5067,264.402515936034,-3.2400726377283
"5068",5068,264.40260606033,-3.28045301128318
"5069",5069,264.402512279679,-3.25204397460573
"5070",5070,264.402454580025,-3.22973846267376
"5071",5071,264.402528161219,-3.26090813051877
"5072",5072,264.40249555312,-3.25051406796217
"5073",5073,264.402436263992,-3.22784630105227
"5074",5074,264.402434428305,-3.22743300357093
"5075",5075,264.402726734623,-3.34951300453545
"5076",5076,264.402472815063,-3.2513111714364
"5077",5077,264.402428339166,-3.2353823690978
"5078",5078,264.402424028816,-3.23732383023297
"5079",5079,264.402377987876,-3.22288173697486
"5080",5080,264.402416481979,-3.24273012735055
"5081",5081,264.402346811835,-3.21887843230237
"5082",5082,264.402430799502,-3.25378290109466
"5083",5083,264.402458993815,-3.26660749769351
"5084",5084,264.402419588698,-3.25542685140503
"5085",5085,264.40238033613,-3.2405834872801
"5086",5086,264.402382402068,-3.2446383290277
"5087",5087,264.402426523678,-3.26196302048779
"5088",5088,264.402380006145,-3.24374031899705
"5089",5089,264.402471771288,-3.27981746437272
"5090",5090,264.40246054362,-3.27847340996011
"5091",5091,264.402544068658,-3.3142916933969
"5092",5092,264.402360429524,-3.2438962480763
"5093",5093,264.402351891041,-3.24076272133903
"5094",5094,264.402082478386,-3.13833369601128
"5095",5095,264.40237926063,-3.25492727618764
