## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
 NGC 5024    19.10   18.50    0.18   -2.19   -8.70   0.02   5.70   3.93   1.95   0.03    12.70     6.00     2.44   149.97     0.54   1.38   6.46  10.03   9.93   696  -1.12  25.913  59.983    6.78    9.28   22.64  332.96   79.76
 NGC 5053    18.10   17.54    0.23   -2.27   -6.33   0.01   4.80   4.15   2.16   0.49    12.80     5.21     2.45    31.07     0.19   0.14  12.40  17.00   9.89    54  -1.19   5.969  10.657    1.81   10.79   17.84  335.70   78.95
 NGC 5139     6.74    5.43    0.05   -1.53  -10.54   0.12   6.60   4.22   2.79   0.01    13.20     6.90     4.31   129.00     3.29   2.94   7.56  10.42  10.32 53747  -0.90  62.243 123.550   18.01    1.47    6.95  309.10   14.97
 NGC 5272    12.28   10.18    0.08   -1.50   -8.68   0.01   5.61   3.84   1.61   0.03    12.10     5.93     2.50    76.06     0.20   1.48   3.40   5.47   9.50  1512  -1.07  31.983  68.778    8.21    5.28   15.80   42.22   78.71
 NGC 5286     8.50   11.10    0.14   -1.69   -8.62   0.24   5.56   4.04   1.52   0.05    12.80     6.09     4.56    12.45     0.72   0.86   2.37   3.59   9.13  1934  -0.46  39.628  57.771   10.12    0.93   12.78  311.61   10.57
 NGC 5466    16.57   16.12    0.16   -1.98   -6.72   0.00   4.75   3.88   1.35   0.18    12.60     5.20     3.41    22.61     1.02   0.91   9.55  13.75   9.75   392  -1.00   6.466  11.247    1.87    6.16   47.79   42.15   73.59
 NGC 5634    21.72   25.96    0.62   -1.88   -7.72   0.05   5.36   4.65   2.22   0.43    12.50     5.77     4.10    32.63     2.56   0.79   4.51   7.14   9.52   134 -99.00  23.189  45.691    5.79    3.08   22.18  342.21   49.26
 NGC 5694    28.96   34.84    0.74   -1.98   -8.12   0.09   5.47   4.42   1.95   0.17    12.75     5.75     2.75   302.82     7.45   1.63   3.08   4.34   9.15   137  -0.32  35.053 127.087    9.79   29.14   59.26  331.06   30.36
 NGC 5824    25.19   31.71    0.60   -1.91   -9.10   0.15   5.87   4.61   1.99   0.11    13.00     6.15     3.63   307.92    23.08   0.48   4.51   6.31   9.61   286  -0.55  44.796 104.228   11.29   13.94   34.99  332.55   22.07
 NGC 5897     7.32   12.55    0.24   -1.90   -7.29   0.09   5.22   3.99   2.37   0.14    12.30     5.72     4.28    17.22     1.50   0.45   7.62  10.90   9.79   710  -1.05  12.472  21.748    3.64    2.45    8.83  342.95   30.29
 NGC 5904     6.43    7.48    0.06   -1.29   -8.51   0.03   5.58   3.66   1.74   0.02    11.70     5.93     3.28    51.44     0.62   0.90   3.52   5.61   9.49  8844  -0.93  29.858  62.108    7.74    3.25   23.44    3.86   46.80
 NGC 5927     4.87    8.27    0.11   -0.49   -8.24   0.45   5.34   3.55   1.30   0.02    11.60     5.76     3.04    26.68     0.17   2.58   3.11   4.50   9.17 14668  -0.34  24.976  44.067    6.59    4.03    5.48  326.60    4.86
